start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
13.377489,13.447489,o,N01_03,オ,4.8825,4.9525,13.376763,13.446763,487,493
13.447489,13.517489,k,N01_03,カ,4.9525,5.0225,13.446763,13.516763,494,500
13.517489,13.557489,a,N01_03,カ,5.0225,5.0625,13.516763,13.556763,501,504
13.557489,13.587489,sp,N01_03,.,5.0625,5.0925,13.556763,13.586763,505,507
13.9405276,13.9705276,h,N01_04,ハ,0.0425,0.0725,13.9398016,13.9698016,3,5
13.9705276,14.0205276,a,N01_04,ハ,0.0725,0.1225,13.9698016,14.0198016,6,10
14.0205276,14.1205276,ts,N01_04,ツ,0.1225,0.2225,14.0198016,14.1198016,11,20
14.1205276,14.1505276,u,N01_04,ツ,0.2225,0.2525,14.1198016,14.1498016,21,23
14.1505276,14.1905276,g,N01_04,ゲ,0.2525,0.2925,14.1498016,14.1898016,24,27
14.1905276,14.2605276,e,N01_04,ゲ,0.2925,0.3625,14.1898016,14.2598016,28,34
14.2605276,14.2905276,N,N01_04,ン,0.3625,0.3925,14.2598016,14.2898016,35,37
14.2905276,14.4005276,o,N01_04,オ,0.3925,0.5025,14.2898016,14.3998016,38,48
14.4005276,14.5105276,j,N01_04,ジュ,0.5025,0.6125,14.3998016,14.5098016,49,59
14.5105276,14.5405276,u,N01_04,ジュ,0.6125,0.6425,14.5098016,14.5398016,60,62
14.5405276,14.6005276,N,N01_04,ン,0.6425,0.7025,14.5398016,14.5998016,63,68
14.6005276,14.6505276,n,N01_04,ニ,0.7025,0.7525,14.5998016,14.6498016,69,73
14.6505276,14.6905276,i,N01_04,ニ,0.7525,0.7925,14.6498016,14.6898016,74,77
14.6905276,14.7605276,m,N01_04,ミ,0.7925,0.8625,14.6898016,14.7598016,78,84
14.7605276,14.8205276,i,N01_04,ミ,0.8625,0.9225,14.7598016,14.8198016,85,90
14.8205276,14.8605276,t,N01_04,テ,0.9225,0.9625,14.8198016,14.8598016,91,94
14.8605276,14.9305276,e,N01_04,テ,0.9625,1.0325,14.8598016,14.9298016,95,101
14.9305276,14.9905276,i,N01_04,イ,1.0325,1.0925,14.9298016,14.9898016,102,107
14.9905276,15.0505276,k,N01_04,キ,1.0925,1.1525,14.9898016,15.0498016,108,113
15.0505276,15.0905276,i,N01_04,キ,1.1525,1.1925,15.0498016,15.0898016,114,117
15.0905276,15.1505276,m,N01_04,マ,1.1925,1.2525,15.0898016,15.1498016,118,123
15.1505276,15.2005276,a,N01_04,マ,1.2525,1.3025,15.1498016,15.1998016,124,128
15.2005276,15.2705276,s,N01_04,ス,1.3025,1.3725,15.1998016,15.2698016,129,135
15.2705276,15.3005276,u,N01_04,ス,1.3725,1.4025,15.2698016,15.2998016,136,138
15.3005276,15.3305276,sp,N01_04,.,1.4025,1.4325,15.2998016,15.3298016,139,141
