start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
12.057489,12.247489,a,N01_03,ワ,3.5625,3.7525,12.056763,12.246763,355,373
12.247489,12.607489,sp,N01_03,",",3.7525,4.1125,12.246763,12.606763,374,409
12.607489,12.647489,d,N01_03,ド,4.1125,4.1525,12.606763,12.646763,410,413
12.647489,12.687489,o,N01_03,ド,4.1525,4.1925,12.646763,12.686763,414,417
12.687489,12.737489,o,N01_03,オ,4.1925,4.2425,12.686763,12.736763,418,422
12.737489,12.827489,ts,N01_03,ツ,4.2425,4.3325,12.736763,12.826763,423,431
12.827489,12.857489,u,N01_03,ツ,4.3325,4.3625,12.826763,12.856763,432,434
12.857489,12.907489,n,N01_03,ナ,4.3625,4.4125,12.856763,12.906763,435,439
12.907489,12.967489,a,N01_03,ナ,4.4125,4.4725,12.906763,12.966763,440,445
12.967489,13.017489,g,N01_03,ガ,4.4725,4.5225,12.966763,13.016763,446,450
13.017489,13.067489,a,N01_03,ガ,4.5225,4.5725,13.016763,13.066763,451,455
13.067489,13.117489,r,N01_03,ル,4.5725,4.6225,13.066763,13.116763,456,460
13.117489,13.147489,u,N01_03,ル,4.6225,4.6525,13.116763,13.146763,461,463
13.147489,13.197489,n,N01_03,ノ,4.6525,4.7025,13.146763,13.196763,464,468
13.197489,13.237489,o,N01_03,ノ,4.7025,4.7425,13.196763,13.236763,469,472
13.237489,13.297489,d,N01_03,デ,4.7425,4.8025,13.236763,13.296763,473,478
13.297489,13.327489,e,N01_03,デ,4.8025,4.8325,13.296763,13.326763,479,481
13.327489,13.447489,sh,N01_03,ショ,4.8325,4.9525,13.326763,13.446763,482,493
13.447489,13.487489,o,N01_03,ショ,4.9525,4.9925,13.446763,13.486763,494,497
13.487489,13.517489,o,N01_03,オ,4.9925,5.0225,13.486763,13.516763,498,500
13.517489,13.617489,k,N01_03,カ,5.0225,5.1225,13.516763,13.616763,501,510
13.617489,13.807489,a,N01_03,カ,5.1225,5.3125,13.616763,13.806763,511,529
13.807489,13.857489,sp,N01_03,.,5.3125,5.3625,13.806763,13.856763,530,534
13.9705276,14.0705276,h,N01_04,ハ,0.0725,0.1725,13.9698016,14.0698016,6,15
14.0705276,14.1205276,a,N01_04,ハ,0.1725,0.2225,14.0698016,14.1198016,16,20
14.1205276,14.2105276,ts,N01_04,ツ,0.2225,0.3125,14.1198016,14.2098016,21,29
14.2105276,14.2505276,u,N01_04,ツ,0.3125,0.3525,14.2098016,14.2498016,30,33
14.2505276,14.2905276,g,N01_04,ゲ,0.3525,0.3925,14.2498016,14.2898016,34,37
14.2905276,14.3605276,e,N01_04,ゲ,0.3925,0.4625,14.2898016,14.3598016,38,44
14.3605276,14.4205276,N,N01_04,ン,0.4625,0.5225,14.3598016,14.4198016,45,50
14.4205276,14.5005276,o,N01_04,オ,0.5225,0.6025,14.4198016,14.4998016,51,58
14.5005276,14.6005276,j,N01_04,ジュ,0.6025,0.7025,14.4998016,14.5998016,59,68
14.6005276,14.6505276,u,N01_04,ジュ,0.7025,0.7525,14.5998016,14.6498016,69,73
14.6505276,14.7105276,N,N01_04,ン,0.7525,0.8125,14.6498016,14.7098016,74,79
14.7105276,14.7605276,n,N01_04,ニ,0.8125,0.8625,14.7098016,14.7598016,80,84
14.7605276,14.7905276,i,N01_04,ニ,0.8625,0.8925,14.7598016,14.7898016,85,87
14.7905276,14.8605276,m,N01_04,ミ,0.8925,0.9625,14.7898016,14.8598016,88,94
14.8605276,14.9205276,i,N01_04,ミ,0.9625,1.0225,14.8598016,14.9198016,95,100
14.9205276,14.9605276,t,N01_04,テ,1.0225,1.0625,14.9198016,14.9598016,101,104
14.9605276,15.0205276,e,N01_04,テ,1.0625,1.1225,14.9598016,15.0198016,105,110
15.0205276,15.0905276,i,N01_04,イ,1.1225,1.1925,15.0198016,15.0898016,111,117
15.0905276,15.1605276,k,N01_04,キ,1.1925,1.2625,15.0898016,15.1598016,118,124
15.1605276,15.1905276,i,N01_04,キ,1.2625,1.2925,15.1598016,15.1898016,125,127
15.1905276,15.2605276,m,N01_04,マ,1.2925,1.3625,15.1898016,15.2598016,128,134
15.2605276,15.2905276,a,N01_04,マ,1.3625,1.3925,15.2598016,15.2898016,135,137
15.2905276,15.4805276,s,N01_04,ス,1.3925,1.5825,15.2898016,15.4798016,138,156
15.4805276,15.5105276,u,N01_04,ス,1.5825,1.6125,15.4798016,15.5098016,157,159
15.5105276,15.5605276,sp,N01_04,.,1.6125,1.6625,15.5098016,15.5598016,160,164
